Time[s], VCC, SDA, RST_N, SHD_N, CSB, SCL, BUSY_N
-0.100000000000000, 0, 0, 0, 0, 0, 0, 0
0.000000000000000, 1, 0, 0, 0, 0, 0, 0
0.000018000000000, 1, 0, 1, 0, 0, 0, 0
0.000020000000000, 1, 0, 1, 0, 1, 0, 0
0.051044000000000, 1, 1, 1, 1, 1, 0, 0
0.051046000000000, 1, 1, 1, 0, 1, 1, 0
0.051048000000000, 1, 0, 1, 0, 1, 0, 0
0.556164000000000, 1, 0, 1, 1, 1, 0, 0
0.556228000000000, 1, 0, 0, 1, 1, 0, 0
0.556744000000000, 1, 0, 1, 1, 1, 0, 0
0.557304000000000, 1, 0, 1, 1, 0, 0, 0
0.557348000000000, 1, 0, 1, 1, 0, 1, 0
0.557386000000000, 1, 0, 1, 1, 0, 0, 0
0.557468000000000, 1, 0, 1, 1, 0, 1, 0
0.557508000000000, 1, 0, 1, 1, 0, 0, 0
0.557588000000000, 1, 0, 1, 1, 0, 1, 0
0.557628000000000, 1, 0, 1, 1, 0, 0, 0
0.557710000000000, 1, 0, 1, 1, 0, 1, 0
0.557750000000000, 1, 0, 1, 1, 0, 0, 0
0.557832000000000, 1, 0, 1, 1, 0, 1, 0
0.557872000000000, 1, 0, 1, 1, 0, 0, 0
0.557952000000000, 1, 0, 1, 1, 0, 1, 0
0.557992000000000, 1, 0, 1, 1, 0, 0, 0
0.558074000000000, 1, 0, 1, 1, 0, 1, 0
0.558114000000000, 1, 0, 1, 1, 0, 0, 0
0.558196000000000, 1, 0, 1, 1, 0, 1, 0
0.558236000000000, 1, 0, 1, 1, 0, 0, 0
0.558316000000000, 1, 0, 1, 1, 0, 1, 0
0.558358000000000, 1, 0, 1, 1, 0, 0, 0
0.558436000000000, 1, 0, 1, 1, 1, 0, 0
0.558480000000000, 1, 0, 1, 1, 0, 0, 0
0.558522000000000, 1, 1, 1, 1, 0, 0, 0
0.558524000000000, 1, 1, 1, 1, 0, 1, 0
0.558564000000000, 1, 1, 1, 1, 0, 0, 0
0.558606000000000, 1, 0, 1, 1, 0, 0, 0
0.558644000000000, 1, 0, 1, 1, 0, 1, 0
0.558684000000000, 1, 0, 1, 1, 0, 0, 0
0.558766000000000, 1, 0, 1, 1, 0, 1, 0
0.558806000000000, 1, 0, 1, 1, 0, 0, 0
0.558888000000000, 1, 0, 1, 1, 0, 1, 0
0.558928000000000, 1, 0, 1, 1, 0, 0, 0
0.559008000000000, 1, 0, 1, 1, 0, 1, 0
0.559048000000000, 1, 0, 1, 1, 0, 0, 0
0.559090000000000, 1, 1, 1, 1, 0, 0, 0
0.559130000000000, 1, 1, 1, 1, 0, 1, 0
0.559170000000000, 1, 1, 1, 1, 0, 0, 0
0.559252000000000, 1, 1, 1, 1, 0, 1, 0
0.559292000000000, 1, 1, 1, 1, 0, 0, 0
